BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
   19.98906     1.4979E+00     5.4548E-01    -1.7178E-02     4.2014E-03     0.0000E+00     2.2186-314     1.2704E-03
   20.09711     1.4965E+00     5.4622E-01    -1.2595E-02     6.9230E-03     0.0000E+00     2.2186-314     3.5678E-03
   20.20516     1.4961E+00     5.4646E-01    -4.0355E-03     7.7951E-03     0.0000E+00     2.2186-314     5.4679E-03
   20.31321     1.4969E+00     5.4604E-01     7.0825E-03     6.2646E-03     0.0000E+00     2.2186-314    -2.2552E-03
   20.42126     1.4973E+00     5.4582E-01     3.6690E-03     5.4717E-03     0.0000E+00     2.2186-314    -5.1858E-03
   20.52931     1.4968E+00     5.4609E-01    -4.5150E-03     6.4474E-03     0.0000E+00     2.2186-314    -3.0549E-03
   20.63736     1.4959E+00     5.4657E-01    -8.0876E-03     8.1951E-03     0.0000E+00     2.2186-314    -3.0829E-03
   20.74541     1.4947E+00     5.4722E-01    -1.1039E-02     1.0581E-02     0.0000E+00     2.2186-314    -1.8650E-04
   20.85345     1.4938E+00     5.4772E-01    -8.3289E-03     1.2380E-02     0.0000E+00     2.2186-314     6.0647E-04
   20.96150     1.4934E+00     5.4797E-01    -4.1949E-03     1.3287E-02     0.0000E+00     2.2186-314    -1.2778E-03
   21.06955     1.4930E+00     5.4818E-01    -3.5199E-03     1.4048E-02     0.0000E+00     2.2186-314     5.7160E-03
   21.17760     1.4940E+00     5.4763E-01     9.1841E-03     1.2063E-02     0.0000E+00     2.2186-314     5.1114E-03
   21.28565     1.4960E+00     5.4649E-01     1.9176E-02     7.9190E-03     0.0000E+00     2.2186-314     6.7638E-03
   21.39370     1.4993E+00     5.4471E-01     3.0141E-02     1.4056E-03     0.0000E+00     2.2186-314    -5.5778E-03
   21.50175     1.5012E+00     5.4367E-01     1.7817E-02    -2.4447E-03     0.0000E+00     2.2186-314    -5.8851E-03
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2186-314    -5.4288E-04
    0.21610     1.9862E+00     3.5724E-01    -1.2763E-01    -9.7242E-01     0.0000E+00     2.2186-314    -3.3560E-03
    0.32415     1.9592E+00     3.6466E-01    -2.5025E-01    -9.1834E-01     0.0000E+00     2.2186-314     1.0157E-03
    0.43220     1.9206E+00     3.7571E-01    -3.5731E-01    -8.4113E-01     0.0000E+00     2.2186-314    -3.3475E-03
